CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
73637	75761	28	0.7747	16.025
62803	73542	28	0.7736	-192.119
71477	72889	28	0.7672	115.051
71477	73542	28	0.9044	-17.029
62803	73637	28	0.8167	-148.090
71477	75912	28	0.8121	159.077
41424	102513	28	0.7414	82.710
39819	105616	28	0.7715	-243.935
74421	77186	28	0.8245	-44.026
39815	39819	28	0.8705	1.000
82518	101995	28	0.8294	-140.161
39819	50807	28	0.734	63.485
72427	72889	28	0.8494	13.979
102513	105616	28	0.8515	-28.029
73324	75405	28	0.8108	16.031
82518	105844	28	0.753	-169.196
72427	75405	28	0.8466	-14.016
102513	105728	28	0.8455	15.997
103518	105728	28	0.7992	39.011
60896	105616	28	0.7301	-365.441
41424	83108	28	0.7504	25.647
100383	106743	28	0.7464	32.926
39819	83108	28	0.7798	-272.968
62803	63831	28	0.7921	44.024
97404	106743	28	0.7214	4.891
71477	72427	28	0.7246	101.072
82209	82217	28	0.7446	1.003
73324	77186	28	0.7973	-1.002
83108	105616	28	0.8788	29.033
41424	108198	28	0.7608	26.650
66755	75405	28	0.8435	-104.060
73324	73637	28	0.9036	-44.024
73557	77186	28	0.7421	-88.052
73542	73637	28	0.8692	44.029
79274	108198	28	0.8646	-0.000
86745	105728	28	0.7749	-142.172
59983	63831	28	0.7382	-44.029
73324	75912	28	0.8257	88.052
73557	75118	28	0.7785	-88.058
20023	59983	28	0.7236	-28.048
71477	73324	28	0.8372	71.025
73637	75912	28	0.8044	132.076
73542	75912	28	0.8124	176.106
102513	103518	28	0.778	-23.013
74871	75912	28	0.8189	115.047
20023	75405	28	0.7735	-204.136
62803	74871	28	0.7589	-131.060
74421	75118	28	0.7971	-44.032
103518	106743	28	0.8745	-28.032
39819	82678	28	0.7278	-271.965
89981	105844	28	0.7449	-141.162
254	265	31	0.9329	-3.997
253	2597	31	0.8834	-11.034
2551	3056	31	0.9233	14.018
1285	3472	31	0.9357	-22.987
2516	3110	31	0.9555	-3.993
2516	3521	31	0.9943	0.001
244	488	31	0.9089	-16.016
2516	3504	31	0.9262	-18.010
1509	2597	31	0.8977	-18.072
4684	9848	31	0.875	-27.995
2502	2635	31	0.839	14.016
254	488	31	0.9343	-2.001
2605	3022	31	0.9506	0.019
2562	2815	31	0.8965	22.982
354	2785	31	0.9351	-0.073
253	1509	31	0.8715	7.038
50	396	31	0.886	0.027
1710	3110	31	0.9049	14.017
278	390	31	0.9309	-0.071
607	3334	31	0.9122	-28.035
535	2597	31	0.8646	-55.044
2974	3056	31	0.8776	-18.010
278	1400	31	0.8691	18.010
1060	1180	31	0.8433	-10.018
1996	2341	31	0.8406	-13.507
34	50	31	0.8664	17.965
253	2562	31	0.8919	5.013
253	265	31	0.876	-21.946
607	3933	31	0.9364	13.981
2543	2551	31	0.872	32.007
2502	2584	31	0.8697	54.976
